problem_id,judge_id,language,features,official_tests,passed_tests,compiled,sha256
ALDS1_11_A,10794101,C,array;loop,8,8,True,2b6d9657c63d1d330684730fd35c6316b95e076cbdaaaf9d65f86a8fdf65e00a
ALDS1_11_A,1371171,C,array;loop,8,8,True,508ee7a6a4b52e5509c3a2a73c6f0c41dde76ab6669eb9f0f21af63d32285739
ALDS1_11_A,1427802,C,array;loop,8,8,True,c279662b0faa69bb05db1934d6f807b3e69dff4e7ed72d6d4d9351e327aa3dd8
ALDS1_11_A,10137037,C,array;loop,8,8,True,579cca2563213f75f84f066ddcab213a32d24166d2e1411e39e2f9b8dcc40ec5
ALDS1_11_A,5082972,C,array;loop,8,8,True,c19649c0eabc4dc2aa547021527ba3989b5b9045266c4554a749878b0ee235f8
ALDS1_11_A,3752239,C,array;loop,8,8,True,f7b020dd115eaaf74406b6ea0156332b5be52673d23e701abf4212eb1cc222af
ALDS1_11_A,895501,C,array;loop,8,8,True,866c4be8ed8c7097b69ef4b988e5b06df7ad743c7dbec003ff032e6cdc47645c
ALDS1_11_A,443373,C,array;loop,8,8,True,86130807c79c5772a2b0776759f01f46145daffb6365823f0a07f5d0e415b03f
ALDS1_11_A,1469546,C,array;loop,8,8,True,37e8737438dd1fa56864a61f72f46dbdbad46dce28936eb5832329eba6d7101f
ALDS1_11_A,442317,C,array;loop,8,8,True,1256cd990f1505c6bc9db4d686acae51c6a9a3dea3c56773ede6f31b231479b8
ITP1_6_D,2463122,C,array;pointer;loop,18,18,True,2a1f83081d3a231f21b48ff12e1c0d8e06912c5ed5b2f6d99b1c34c92e3e875a
ITP1_6_D,1049059,C,array;pointer;loop,18,18,True,cf84c1eb32de77fa80147990ef54dd4a521037edd1996567d667edfa27e0d129
ITP1_6_D,1296787,C,array;pointer;loop,18,18,True,de47cf620f43c23eefb001a29a7fb71bb65fc6b9814032d39b1096fb457a954c
ITP1_6_D,6602723,C,array;pointer;loop,18,18,True,fd08929431dc2567d639e8994758d376b0a0618267288e42d105a30cdc384957
ITP1_6_D,4327522,C,array;pointer;loop,18,18,True,e33985f457c38d2ff000c0d6faf3034e51facac1f4e2793be58060a3553cd65b
ITP1_6_D,3742473,C,array;pointer;loop,18,18,True,d11eab785b5e5aa0a1064e0e4093996f25cee24408075d35eee9f2d2167696ea
ITP1_6_D,1323209,C,array;pointer;loop,18,18,True,c3350bb8b3d7834c0adea3f57dc363029ca32e66e066be9a1b6ca3239900a5fb
ITP1_6_D,2008099,C,array;pointer;loop,18,18,True,a7116afa1673f543f094d36ff4627796df2a75fe1ce3ef241ad9e42adc764b8d
ITP1_6_D,1310703,C,array;pointer;loop,18,18,True,7b0d31ba07a640a84665f390bddfccbe4db385759750c7e0be589258a53880d5
ITP1_6_D,1280519,C,array;pointer;loop,18,18,True,12f25e6c718f3007227fcf641e4916dca847bafb27a8a97d7f744e51af06372b
ALDS1_1_A,376599,C,array;loop,5,5,True,1bf368e450fbaa237b2b22824d708f7d09d66d447439e436c6f88e948cf563c7
ALDS1_1_A,11655236,C,array;loop,5,5,True,b3f85036cfbd87422d00efb3ee5ab8c8de690b61231518cbc72991c8e27bd393
ALDS1_1_A,9925812,C,array;loop,5,5,True,e796b596a2680c143014b8d87e5be5796f0a06224321ba44b7a34bf511a04da6
ALDS1_1_A,3154525,C,array;pointer;loop,5,5,True,e58c3e782d472c3c2f149a34e81dcac2718af14c9e8811cc1f50a88fca0b6391
ALDS1_1_A,6603674,C,array;loop,5,5,True,37cc6c04ea8d30d0eaf07c988fd8df465f53fe619447efe4f61fc3c91aa7ffb1
ALDS1_1_A,1283165,C,array;loop,5,5,True,412f100734d01a559dfb081870a07b4252b21f61ce6a54094a570a8f9d0d2c0a
ALDS1_1_A,9920818,C,array;loop,5,5,True,1dea0f9f924259d4e31383828bf9b54cbb725ed9ada40cb0dff7618309bdd2db
ALDS1_1_A,4952402,C,array;loop,5,5,True,f35a4f8e0f6676818a52fabaf2288078e9830f38b0f5ad02b980b6a0f6b1c850
ALDS1_1_A,3743025,C,array;loop,5,5,True,2398c3fac0d0459b421c1761e0bdedae8a9a37846897979128681794726e5440
ALDS1_1_A,881044,C,array;loop,5,5,True,ba3fde728ee46c7f2e7a7f8a5d507c9ab47e11213141320ef8b4fd78a83305b0
