filename,basename,gpt_time,gpt_mems,gpt_path,gpt_error,dfs_time,dfs_max_mems,dfs_min_mems,dfs_best_path,dfs_error,dp_time,dp_mems,dp_path,dp_error,success_gpt,success_dfs,success_dp,gpt_eq_dp_mems,gpt_eq_dfs_mems,dp_eq_dfs_mems,gpt_dp_mems_diff,gpt_dfs_mems_diff,dp_dfs_mems_diff,eppath_feasible,eppath_feasible_reason,eppath_feasible_source,gpt_path_feasible_by_eppath,is_true,worst_mems_dp,worst_path_dp,worst_mems_dfs,worst_path_dfs,run_round,run_stage,run_stage_tag
/home/zhangliwei/eppather/testcase/output_complete2/9-billion-names-of-god-the-integer.c,9-billion-names-of-god-the-integer.c,0.7721,error,,parse_fail,error,error,error,,retcode_-11,0.0687004,-1,,,False,False,True,False,False,False,,,,unknown,gpt_failed,none,False,False,-1,,,,,,
/home/zhangliwei/eppather/testcase/output_complete2/a+b-1.c,a+b-1.c,0.7997,error,,parse_fail,0.0573396,2,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,0.143375,2,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,2,,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,,
/home/zhangliwei/eppather/testcase/output_complete2/a+b-2.c,a+b-2.c,0.7491,error,,parse_fail,0.0554817,2,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,0.148486,2,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,2,,2,"[TEST INPUT PATH EXPR]:
int a;
int b;
int x[5];
x[0] = a + b;return x[0];",,,
/home/zhangliwei/eppather/testcase/output_complete2/a+b-3.c,a+b-3.c,0.8323,error,,parse_fail,0.0591655,2,2,"[TEST INPUT PATH EXPR]:
int arg1;
int arg2;
int result[5];
result[0] = arg1 + arg2;return result[0];",,0.14243,2,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,2,,2,"[TEST INPUT PATH EXPR]:
int arg1;
int arg2;
int result[5];
result[0] = arg1 + arg2;return result[0];",,,
/home/zhangliwei/eppather/testcase/output_complete2/abc-problem.c,abc-problem.c,0.7173,error,,parse_fail,0.109645,8,7,"[TEST INPUT PATH EXPR]:
char *b[21];
char *word;
int res[1];
int has_word[1];
int has_block[1];
res[0] = 0;has_word[0] = (word != 0);has_block[0] = (b[0] != 0);@(has_word[0] && has_block[0]);
res[0] = 1;return res[0];",,0.319023,8,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,8,,8,"[TEST INPUT PATH EXPR]:
char *b[21];
char *word;
int res[1];
int has_word[1];
int has_block[1];
res[0] = 0;has_word[0] = (word != 0);has_block[0] = (b[0] != 0);@(has_word[0] && has_block[0]);
res[0] = 1;return res[0];",,,
/home/zhangliwei/eppather/testcase/output_complete2/accumulator-factory.c,accumulator-factory.c,0.5981,error,,parse_fail,0.0621848,4,4,"[TEST INPUT PATH EXPR]:
int i;
static int _n[5];
int i;
static int _n[5];
int i;
static int _n[5];
int i;
int selector;
static int _n_x[5];
static int _n_y[5];
static int _n_z[5];
_n[0] = 1;_n[0] = _n[0] + i;return _n[0];",,0.226974,4,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,4,,4,"[TEST INPUT PATH EXPR]:
int i;
static int _n[5];
int i;
static int _n[5];
int i;
static int _n[5];
int i;
int selector;
static int _n_x[5];
static int _n_y[5];
static int _n_z[5];
_n[0] = 1;_n[0] = _n[0] + i;return _n[0];",,,
/home/zhangliwei/eppather/testcase/output_complete2/ackermann-function-2.c,ackermann-function-2.c,0.7761,error,,parse_fail,3.12209,3,2,"[TEST INPUT PATH EXPR]:
int m;
int n;
int m_bits;
int n_bits;
int cache[16];
int mm;
int nn;
int idx;
mm = m;nn = n;@(mm < 0);
mm = 0;@(nn < 0);
nn = 0;@(!(mm > 2));
@(!(nn > 3));
idx = mm * 4 + nn;@(!(cache[idx] != 0));
@(mm == 0);
cache[idx] = nn + 1;return cache[idx];",,1.31249,3,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,3,,3,"[TEST INPUT PATH EXPR]:
int m;
int n;
int m_bits;
int n_bits;
int cache[16];
int mm;
int nn;
int idx;
mm = m;nn = n;@(mm < 0);
mm = 0;@(nn < 0);
nn = 0;@(!(mm > 2));
@(!(nn > 3));
idx = mm * 4 + nn;@(!(cache[idx] != 0));
@(mm == 0);
cache[idx] = nn + 1;return cache[idx];",,,
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-2.c,address-of-a-variable-2.c,0.7143,error,,parse_fail,0.0486643,1,1,"[TEST INPUT PATH EXPR]:
int i[5];
int* address_of_i;
address_of_i = &i[0];return;",,0.128762,1,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,1,,1,"[TEST INPUT PATH EXPR]:
int i[5];
int* address_of_i;
address_of_i = &i[0];return;",,,
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-4.c,address-of-a-variable-4.c,0.7560,error,,parse_fail,0.0513124,1,1,"[TEST INPUT PATH EXPR]:
int n;
int s[5];
s[0] = 0;return;",,0.128321,1,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,1,,1,"[TEST INPUT PATH EXPR]:
int n;
int s[5];
s[0] = 0;return;",,,
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-5.c,address-of-a-variable-5.c,0.6534,error,,parse_fail,0.0458912,1,1,"[TEST INPUT PATH EXPR]:
int arr[5];
arr[0] = 0;return;",,0.11657,1,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,1,,1,"[TEST INPUT PATH EXPR]:
int arr[5];
arr[0] = 0;return;",,,
/home/zhangliwei/eppather/testcase/output_complete2/address-of-a-variable-7.c,address-of-a-variable-7.c,0.7305,error,,parse_fail,0.0941231,0,0,"[TEST INPUT PATH EXPR]:
int x;
int y;
x = 168496691;y = x;@(y > 0);
y = y - 1;return 0;",,0.284282,0,,,False,True,True,False,False,True,,,0,unknown,gpt_failed,none,False,False,0,,0,"[TEST INPUT PATH EXPR]:
int x;
int y;
x = 168496691;y = x;@(y > 0);
y = y - 1;return 0;",,,
